"","filmname","year","actor","gross"
"1","Skyfall","2012","Daniel Craig",1108.561008
"2","Thunderball","1965","Sean Connery",1014.941117
"3","Goldfinger","1964","Sean Connery",912.257512
"4","Spectre","2015","Daniel Craig",880.669186
"5","Live and Let Die","1973","Roger Moore",825.110761
"6","You Only Live Twice","1967","Sean Connery",756.544419
"7","The Spy Who Loved Me","1977","Roger Moore",692.713752
"8","Casino Royale","2006","Daniel Craig",669.789482
"9","Moonraker","1979","Roger Moore",655.8724
"10","Diamonds Are Forever","1971","Sean Connery",648.514469
"11","Quantum of Solace","2008","Daniel Craig",622.246378
"12","From Russia with Love","1963","Sean Connery",576.277964
"13","Die Another Day","2002","Pierce Brosnan",543.639638
"14","Goldeneye","1995","Pierce Brosnan",529.548711
"15","On Her Majesty's Secret Service","1969","George Lazenby",505.899782
"16","The World is Not Enough","1999","Pierce Brosnan",491.617153
"17","For Your Eyes Only","1981","Roger Moore",486.468881
"18","Tomorrow Never Dies","1997","Pierce Brosnan",478.946402
"19","The Man with the Golden Gun","1974","Roger Moore",448.249281
"20","Dr. No","1962","Sean Connery",440.759072
"21","Octopussy","1983","Roger Moore",426.244352
"22","The Living Daylights","1987","Timothy Dalton",381.088866
"23","A View to a Kill","1985","Roger Moore",321.172633
"24","Licence to Kill","1989","Timothy Dalton",285.157191
